2024-05-09 | 22:58:15.321 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | SQL Warning Code: 0, SQLState: 00000
2024-05-09 | 22:58:15.321 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | relation "order" does not exist, skipping
2024-05-09 | 22:58:15.322 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | SQL Warning Code: 0, SQLState: 00000
2024-05-09 | 22:58:15.322 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | table "delivery" does not exist, skipping
2024-05-09 | 22:58:15.323 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | SQL Warning Code: 0, SQLState: 00000
2024-05-09 | 22:58:15.323 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | table "item" does not exist, skipping
2024-05-09 | 22:58:15.324 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | SQL Warning Code: 0, SQLState: 00000
2024-05-09 | 22:58:15.324 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | table "order" does not exist, skipping
2024-05-09 | 22:58:15.325 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | SQL Warning Code: 0, SQLState: 00000
2024-05-09 | 22:58:15.325 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | table "truck" does not exist, skipping
2024-05-09 | 22:58:15.326 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | SQL Warning Code: 0, SQLState: 00000
2024-05-09 | 22:58:15.326 | tartedMain |  WARN | o.h.e.jdbc.spi.SqlExceptionHelper   | table "user" does not exist, skipping
2024-05-09 | 22:58:15.383 | tartedMain |  INFO | alContainerEntityManagerFactoryBean | Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-05-09 | 22:58:16.163 | tartedMain |  WARN | efaultTemplateResolverConfiguration | Cannot find template location: classpath:/templates/ (please add some templates, check your Thymeleaf configuration, or set spring.thymeleaf.check-template-location=false)
2024-05-09 | 22:58:16.343 | tartedMain |  INFO | o.s.b.d.a.OptionalLiveReloadServer  | LiveReload server is running on port 35729
2024-05-09 | 22:58:16.358 | tartedMain |  INFO | o.a.coyote.http11.Http11NioProtocol | Starting ProtocolHandler ["http-nio-9443"]
2024-05-09 | 22:58:16.376 | tartedMain |  INFO | o.s.b.w.e.tomcat.TomcatWebServer    | Tomcat started on port 9443 (http) with context path '/rest-api'
2024-05-09 | 22:58:16.382 | tartedMain |  INFO | .W.M.WarehouseManagementApplication | Started WarehouseManagementApplication in 4.165 seconds (process running for 4.837)
2024-05-09 | 23:00:20.038 | utdownHook |  INFO | o.s.b.w.e.tomcat.GracefulShutdown   | Commencing graceful shutdown. Waiting for active requests to complete
2024-05-09 | 23:00:20.041 | t-shutdown |  INFO | o.s.b.w.e.tomcat.GracefulShutdown   | Graceful shutdown complete
2024-05-09 | 23:00:20.045 | utdownHook |  INFO | alContainerEntityManagerFactoryBean | Closing JPA EntityManagerFactory for persistence unit 'default'
2024-05-09 | 23:00:20.073 | utdownHook |  INFO | com.zaxxer.hikari.HikariDataSource  | HikariPool-1 - Shutdown initiated...
